Num_Dunks,Freq
0,116
1,20
2,27
3,17
4,17
5,10
6,15
7,9
8,12
9,5
10,7
11,6
12,5
13,4
14,4
15,2
16,6
17,2
18,6
19,3
20,7
21,3
22,7
23,4
24,2
25,5
26,3
27,4
28,5
29,8
30,3
31,4
32,4
33,0
34,2
35,4
36,4
37,3
38,1
39,2
40,3
41,1
42,0
43,2
44,4
45,3
46,1
47,1
48,0
49,2
50,2
51,0
52,0
53,1
54,2
55,0
56,3
57,2
58,1
59,1
60,1
61,0
62,2
63,2
64,3
65,0
66,2
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,2
77,1
78,1
79,1
80,1
81,2
82,0
83,0
84,0
85,0
86,2
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,1
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,1
119,0
120,0
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
